poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max	avg_coord_queue[s]	mac_percentage_dropped
20	50	0.523	0.048	0.778	0.095	0.034	0.141	0.852	0.312
25	50	0.036	0.020	0.053	0.154	0.049	0.245	0.018	0.089
30	50	0.634	0.022	1.023	0.073	0.048	0.117	0.893	0.312
35	50	0.035	0.022	0.050	0.498	0.467	0.546	0.018	0.044
40	50	0.050	0.034	0.068	0.065	0.005	0.173	0.027	0.044
45	50	0.040	0.029	0.054	0.013	0.005	0.027	0.020	0.044
50	50	0.048	0.023	0.071	0.076	0.005	0.129	0.024	0.044
55	50	0.065	0.032	0.090	0.006	0.004	0.009	0.034	0.044
60	50	0.055	0.023	0.081	0.032	0.004	0.075	0.028	0.089
65	50	0.063	0.037	0.085	0.004	0.004	0.004	0.034	0.044
70	50	0.053	0.038	0.068	0.004	0.004	0.004	0.029	0.044
75	50	0.070	0.026	0.103	0.006	0.004	0.008	0.036	0.488
80	50	0.059	0.038	0.078	0.004	0.004	0.005	0.033	0.044
85	50	0.093	0.047	0.125	0.007	0.004	0.010	0.051	0.044
90	50	0.063	0.048	0.078	0.009	0.004	0.017	0.036	0.044
95	50	0.088	0.052	0.115	0.004	0.004	0.004	0.049	0.044
100	50	0.082	0.023	0.121	0.113	0.004	0.216	0.041	0.044
105	50	0.070	0.059	0.084	0.456	0.421	0.480	0.040	0.044
110	50	0.093	0.058	0.118	0.004	0.004	0.004	0.053	0.044
115	50	0.115	0.062	0.150	0.004	0.004	0.004	0.064	0.044
120	50	0.155	0.083	0.201	0.042	0.004	0.089	0.087	0.044
125	50	0.083	0.068	0.098	0.006	0.004	0.008	0.049	0.044
130	50	0.096	0.068	0.118	0.004	0.004	0.004	0.056	0.044
135	50	0.115	0.074	0.144	0.004	0.004	0.004	0.065	0.044
140	50	0.139	0.078	0.178	0.005	0.004	0.006	0.079	0.044
145	50	0.154	0.076	0.200	0.005	0.004	0.005	0.086	0.044
150	50	0.115	0.023	0.171	0.004	0.004	0.004	0.058	0.044
155	50	0.098	0.082	0.117	0.004	0.004	0.004	0.058	0.044
160	50	0.099	0.078	0.118	0.004	0.004	0.004	0.059	0.044
165	50	0.120	0.089	0.144	0.005	0.004	0.006	0.070	0.044
170	50	0.136	0.089	0.168	0.005	0.004	0.006	0.079	0.044
175	50	0.154	0.093	0.193	0.005	0.004	0.006	0.089	0.044
180	50	0.153	0.078	0.198	0.006	0.004	0.010	0.086	0.044
185	50	0.182	0.096	0.234	0.004	0.004	0.004	0.103	0.044
190	50	0.199	0.098	0.258	0.004	0.004	0.004	0.113	0.044
195	50	0.214	0.103	0.278	0.004	0.004	0.004	0.119	0.044
200	50	0.248	0.123	0.321	0.004	0.004	0.004	0.140	0.044
205	50	0.236	0.106	0.312	0.004	0.004	0.004	0.131	0.044
210	50	0.123	0.108	0.138	0.004	0.004	0.004	0.076	0.044
215	50	0.134	0.111	0.154	0.004	0.004	0.004	0.082	0.044
220	50	0.153	0.118	0.178	0.004	0.004	0.004	0.093	0.044
225	50	0.138	0.093	0.168	0.004	0.004	0.004	0.081	0.044
230	50	0.172	0.118	0.208	0.004	0.004	0.004	0.102	0.044
235	50	0.186	0.122	0.226	0.007	0.004	0.012	0.109	0.044
240	50	0.272	0.198	0.318	0.006	0.004	0.011	0.166	0.044
245	50	0.209	0.126	0.259	0.004	0.004	0.004	0.121	0.044
250	50	0.213	0.118	0.268	0.004	0.004	0.004	0.122	0.044
255	50	0.233	0.133	0.292	0.005	0.004	0.006	0.133	0.044
260	50	0.252	0.138	0.318	0.004	0.004	0.004	0.146	0.044
265	50	0.265	0.140	0.337	0.004	0.004	0.005	0.152	0.489
270	50	0.273	0.138	0.348	0.004	0.004	0.004	0.156	0.044
275	50	0.288	0.143	0.368	0.004	0.004	0.004	0.164	0.044
280	50	0.312	0.158	0.398	0.004	0.004	0.004	0.179	0.044
285	50	0.311	0.149	0.400	0.004	0.004	0.004	0.175	0.044
290	50	0.322	0.148	0.418	0.004	0.004	0.004	0.182	0.089
295	50	0.335	0.152	0.435	0.004	0.004	0.004	0.189	0.044
300	50	0.215	0.023	0.321	0.004	0.004	0.004	0.107	0.044
305	50	0.361	0.157	0.472	0.004	0.004	0.004	0.202	0.044
310	50	0.179	0.158	0.205	0.004	0.004	0.004	0.110	0.044
315	50	0.173	0.163	0.187	0.004	0.004	0.004	0.108	0.044
320	50	0.179	0.158	0.198	0.004	0.004	0.004	0.113	0.044
325	50	0.196	0.168	0.218	0.004	0.004	0.004	0.122	0.044
330	50	0.203	0.168	0.228	0.004	0.004	0.004	0.126	0.044
335	50	0.212	0.172	0.241	0.004	0.004	0.004	0.131	0.044
340	50	0.226	0.178	0.258	0.004	0.004	0.004	0.139	0.044
345	50	0.230	0.179	0.264	0.004	0.004	0.004	0.139	0.044
350	50	0.229	0.168	0.268	0.005	0.004	0.006	0.139	0.044
355	50	0.249	0.181	0.291	0.004	0.004	0.004	0.150	0.044
360	50	0.273	0.198	0.317	0.006	0.004	0.010	0.166	0.044
365	50	0.265	0.185	0.313	0.004	0.004	0.004	0.159	0.044
370	50	0.275	0.188	0.327	0.004	0.004	0.004	0.165	0.044
375	50	0.262	0.168	0.318	0.004	0.004	0.004	0.156	0.044
380	50	0.299	0.198	0.358	0.004	0.004	0.004	0.179	0.044
385	50	0.303	0.197	0.365	0.004	0.004	0.004	0.180	0.044
390	50	0.313	0.199	0.378	0.004	0.004	0.005	0.186	0.044
395	50	0.322	0.202	0.390	0.004	0.004	0.004	0.190	0.044
400	50	0.246	0.118	0.318	0.004	0.004	0.004	0.139	0.044
405	50	0.342	0.211	0.417	0.004	0.004	0.004	0.201	0.044
410	50	0.350	0.209	0.429	0.004	0.004	0.004	0.206	0.044
415	50	0.359	0.212	0.440	0.004	0.004	0.004	0.211	0.089
420	50	0.352	0.198	0.438	0.004	0.004	0.004	0.205	0.044
425	50	0.379	0.218	0.468	0.004	0.004	0.004	0.222	0.044
430	50	0.385	0.218	0.478	0.004	0.004	0.004	0.225	0.044
435	50	0.395	0.224	0.489	0.004	0.004	0.004	0.229	0.089
440	50	0.419	0.238	0.517	0.004	0.004	0.004	0.245	0.044
445	50	0.414	0.227	0.516	0.004	0.004	0.004	0.240	0.044
450	50	0.362	0.168	0.468	0.004	0.004	0.004	0.205	0.044
455	50	0.432	0.232	0.541	0.004	0.004	0.005	0.251	0.044
460	50	0.446	0.238	0.558	0.004	0.004	0.004	0.259	0.044
465	50	0.450	0.239	0.564	0.004	0.004	0.004	0.259	0.044
470	50	0.459	0.238	0.578	0.004	0.004	0.004	0.265	0.044
475	50	0.470	0.243	0.592	0.004	0.004	0.004	0.272	0.044
480	50	0.552	0.318	0.677	0.004	0.004	0.005	0.325	0.044
485	50	0.485	0.245	0.613	0.004	0.004	0.004	0.279	0.044
490	50	0.495	0.248	0.627	0.004	0.004	0.004	0.285	0.044
495	50	0.504	0.253	0.637	0.005	0.004	0.006	0.289	0.044
500	50	0.479	0.218	0.617	0.004	0.004	0.004	0.272	0.044
505	50	0.521	0.255	0.662	0.004	0.004	0.004	0.298	0.044
510	50	0.532	0.258	0.677	0.005	0.004	0.006	0.305	0.044
515	50	0.541	0.261	0.689	0.004	0.004	0.004	0.310	0.044
520	50	0.565	0.278	0.717	0.004	0.004	0.005	0.325	0.044
525	50	0.537	0.243	0.692	0.004	0.004	0.004	0.305	0.044
530	50	0.569	0.268	0.728	0.004	0.004	0.004	0.325	0.044
535	50	0.577	0.271	0.739	0.004	0.004	0.004	0.329	0.044
540	50	0.572	0.258	0.738	0.004	0.004	0.004	0.325	0.044
545	50	0.596	0.276	0.764	0.004	0.004	0.004	0.339	0.044
550	50	0.596	0.268	0.768	0.004	0.004	0.004	0.338	0.044
555	50	0.613	0.283	0.787	0.004	0.004	0.004	0.348	0.044
560	50	0.619	0.278	0.797	0.004	0.004	0.004	0.352	0.044
565	50	0.632	0.286	0.813	0.004	0.004	0.004	0.359	0.044
570	50	0.642	0.288	0.827	0.004	0.004	0.004	0.365	0.044
575	50	0.654	0.294	0.843	0.004	0.004	0.004	0.372	0.044
580	50	0.664	0.297	0.857	0.004	0.004	0.004	0.378	0.089
585	50	0.670	0.298	0.864	0.004	0.004	0.004	0.379	0.044
590	50	0.677	0.296	0.876	0.004	0.004	0.004	0.383	0.044
595	50	0.683	0.297	0.883	0.004	0.004	0.004	0.386	0.044
600	50	0.714	0.323	0.919	0.004	0.004	0.004	0.406	0.044
605	50	2.958	2.561	3.165	0.004	0.004	0.004	2.554	0.045
610	50	1.411	1.006	1.621	0.004	0.004	0.004	1.022	0.044
615	50	0.823	0.446	1.024	0.004	0.004	0.004	0.499	0.044
620	50	0.348	0.318	0.389	0.004	0.004	0.004	0.219	0.044
625	50	0.339	0.319	0.365	0.004	0.004	0.004	0.216	0.044
630	50	0.333	0.318	0.348	0.004	0.004	0.004	0.216	0.044
635	50	0.340	0.322	0.357	0.004	0.004	0.004	0.220	0.044
640	50	0.339	0.318	0.358	0.004	0.004	0.004	0.219	0.044
645	50	0.352	0.329	0.371	0.004	0.004	0.004	0.226	0.044
650	50	0.346	0.318	0.368	0.004	0.004	0.004	0.222	0.044
655	50	0.361	0.332	0.384	0.004	0.004	0.004	0.231	0.044
660	50	0.352	0.318	0.378	0.004	0.004	0.004	0.225	0.044
665	50	0.372	0.335	0.398	0.004	0.004	0.004	0.237	0.044
670	50	0.379	0.338	0.407	0.004	0.004	0.004	0.242	0.044
675	50	0.363	0.318	0.393	0.004	0.004	0.004	0.231	0.044
680	50	0.406	0.358	0.438	0.004	0.004	0.004	0.259	0.044
